category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
DANCE,US,https://www.uncsa.edu/news/img/2024/03/summer-program-musical-theater.jpg,2024-08-10T15:42:54.073207,Four people are practicing dance moves in a room with a bar and a speaker.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://www.uncsa.edu/news/img/2024/03/summer-dance-banner.jpg,2024-08-10T15:42:54.073207,A group of dancers perform a choreographed routine on stage.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://dance.osu.edu/sites/default/files/styles/slideshow_image/public/2023-09/23_4319521_7178_16x9.jpg?h=8abcec71&itok=qAftCxUi,2024-08-10T15:42:54.073207,A group of people are performing a dance in a large room.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://news.fullerton.edu/app/uploads/2023/09/2022_Spring_Dance_056-800x500.jpg,2024-08-10T15:42:54.073207,A dancer in black pants and white shirt performs a pose against a red backdrop.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://upload.wikimedia.org/wikipedia/commons/3/38/Two_dancers.jpg,2024-08-10T15:42:54.073207,Two people are performing an acrobatic dance pose.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://usadance.org/resource/resmgr/website_images/home/cta-img1a.jpg,2024-08-10T15:42:54.073207,Two people are performing a dance routine in a large room.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://news.illinoisstate.edu/files/2014/03/ISUPAC2.jpg,2024-08-10T15:42:54.073207,A large building with a mostly glass facade and a brick section.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKX1H5niV6F7gM6PJUrXs8_yzWdnWnpGucBg&s,2024-08-10T15:42:54.073207,An abstract painting composed of geometric shapes and vibrant colors.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://news.ohio.edu/sites/ohio.edu.news/files/2022-09/20220326_World_Dance_Music_Concert_12_jmt-2_web.jpg,2024-08-10T15:42:54.073207,A group of people in patterned clothing are performing a dance in a dimly lit room.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://www.american.edu/cas/news/images/But-at-What-Cost_1200_5589884_1200x630.jpg,2024-08-10T15:42:54.073207,Three people are performing a dance routine in front of a dark background.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Edgar_Degas_-_La_Classe_de_danse.jpg/800px-Edgar_Degas_-_La_Classe_de_danse.jpg,2024-08-10T15:42:54.073207,"A group of people in white dresses are standing in a large room, some are holding long sticks.",0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://www.kennedy-center.org/globalassets/education/resources-for-educators/classroom-resources/artsedge/media/hip-hop-a-culture-of-vision-and-voice/breaking-dance-style-169-1.jpg,2024-08-10T15:42:54.073207,A person is performing a gymnastic move while a bright light shines on them.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://mdtheatreguide.com/wp-content/uploads/2024/03/Rena-Butlers-_This-scaled.jpg,2024-08-10T15:42:54.073207,Five people are performing a dance in colorful clothing.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://static01.nyt.com/images/2024/08/09/multimedia/SAIDO-OLYMPIAD--05-jzhb/SAIDO-OLYMPIAD--05-jzhb-threeByTwoMediumAt2X.jpg?auto=webp,2024-08-10T15:42:54.073207,A group of people are walking in a dark space.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://news.uga.edu/wp-content/uploads/2024/01/Dance-Theatre-of-Harlem-Company-Artists-Kouadio-Davis-and-Alexandra-Hutchinson-in-Higher-Ground.-Photo-by-Theik-Smith-1600x800-1.jpg,2024-08-10T15:42:54.073207,Two people are performing a dance routine in front of a dark background.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSec41ZwDzvdHoIGL-yvbkXi-dP2DriIJBblA&s,2024-08-10T15:42:54.073207,"A square is divided into four sections with a different symbol in each section, representing musical notes, a paintbrush and palette, a theater mask, and dancing figures.",0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://static01.nyt.com/images/2022/10/30/arts/30TAYLOR-KATZ1b/merlin_214706463_9befa8a4-81e5-48e4-9126-33684735d1d9-articleLarge.jpg?quality=75&auto=webp&disable=upscale,2024-08-10T15:42:54.073207,A woman in a white skirt stands in front of a large green sculpture.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://dance.osu.edu/sites/default/files/styles/slideshow_image/public/2023-06/2023_acda_national_festival_cannonball_2022_the_ohio_state_university_hp_6844_photo_c_gregory_rr_crosby_16x9.jpg?h=8abcec71&itok=nLadXLRj,2024-08-10T15:42:54.073207,"Six individuals are performing on a stage, they are wearing black and white clothing.",0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://www.unlv.edu/sites/default/files/styles/1200_width/public/media/image/2022-11/arts_entertainment-D74429_001-2000x1333.jpg?itok=w4kJSFTq,2024-08-10T15:42:54.073207,A group of people are dancing in a room lit by pink and blue lights.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://i.ytimg.com/vi/jSdBi8NH5oM/maxresdefault.jpg,2024-08-10T15:42:54.073207,A group of men wearing hats and blue shirts are performing on a stage.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://www.usm.edu/performing-visual-arts/images/feature-season-2019.jpg,2024-08-10T15:42:54.073207,Two people in dark clothing are performing a dance routine on a stage.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://www.memphistravel.com/sites/default/files/styles/photo_tour_media/public/event-main_images/event-upload--ACB2%20copy.jpeg?itok=4aTpCAYy,2024-08-10T15:42:54.073207,Two people are performing an acrobatic dance move.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://static01.nyt.com/images/2022/12/04/multimedia/04AILEY-KYLE-REVIEW-1-e51e/04AILEY-KYLE-REVIEW-1-e51e-articleLarge.jpg?quality=75&auto=webp&disable=upscale,2024-08-10T15:42:54.073207,A group of people are leaping and dancing in a variety of poses.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://storage.googleapis.com/gweb-uniblog-publish-prod/images/Alvin_Ailey_American_Dance_Theat.width-1200.format-webp.webp,2024-08-10T15:42:54.073207,A group of people wearing long gowns and hats are performing on a stage.,0,0,0,0,0,,2024-08-11T16:23:20.273110
DANCE,US,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSq-J5y1g1_BycZ40tHjdJCHc4LKrmoOWDOCQ&s,2024-08-10T15:42:54.073207,A group of people are engaged in a physical activity in a large room.,0,0,0,0,0,,2024-08-11T16:23:20.273110
