category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
DANCE,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpgeyqoIL5w01PF0iWbOA9yeslw9YbyUWLGQ&s,2024-08-10T17:18:36.283749,Three people are performing a dance in front of a seated audience.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2Xj4duF4QsbYyXKpmwdyHAaPMIRuPf1KdSw&s,2024-08-10T17:18:36.283749,"A group of people are holding and moving a long, thin sheet of white fabric in an outdoor space.",0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://jordannews.jo/content/upload/editor/Image1_320221319251194169125.jpg,2024-08-10T17:18:36.283749,A person in purple and pink clothing is bending backwards with their hands on the floor while other people are standing in the background.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://mybowlofcherries.wordpress.com/wp-content/uploads/2011/05/selina1.jpg,2024-08-10T17:18:36.283749,A person in a white dress is posing in front of a large abstract painting while another person takes a picture.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://www.ocregister.com/wp-content/uploads/2019/03/OCR-L-VA-AOY-INTRO-FEATURED-1.jpg?w=620,2024-08-10T17:18:36.283749,A person is performing a leg split in the air.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbmAw975WsISlnIV6xhTOSPqmRdwJBton5Yg&s,2024-08-10T17:18:36.283749,A young man with dark skin and short hair is smiling brightly at the camera while wearing a pink shirt.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb5gc_v_pvKm1_oF7Gp2Wg15EnaJRlGf4eJg&s,2024-08-10T17:18:36.283749,A woman with long braids and a sparkly outfit is performing a dance move with her arm raised.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://www.pace.edu/sites/default/files/styles/16_9_1600x900/public/2024-03/sands-interior-hero-bfa-acting_1.jpg?h=993b43e0&itok=2GmqP4ZB,2024-08-10T17:18:36.283749,A group of people dressed in similar clothing are dancing and playing with colorful spheres in a dimly lit space.,0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://30under30.temple.edu/sites/30under30/files/media/image/20230113_30u30EnyaJordan_012-High-Res-JPEG-300-DPI.jpg?v=497064,2024-08-10T17:18:36.283749,"A person in dark clothing is holding a cloth with one arm raised, looking upward.",0,0,0,0,0,,2024-08-11T16:19:32.479401
DANCE,JOR,https://i.ytimg.com/vi/NAfDw2iQ-kc/hqdefault.jpg,2024-08-10T17:18:36.283749,A group of people are dancing and celebrating with colorful lights and decorations.,0,0,0,0,0,,2024-08-11T16:19:32.479401
