category_code,country_code,image_url,created_at,isEnglish
RELIG,US,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4TypAZ4OGeFUHDc7hJ-Oq_8tPURLLDzVQig&s,2024-08-10T16:26:45.175991,True
RELIG,US,https://www.pewresearch.org/wp-content/uploads/sites/3/2013/04/SDT-2013-Asian-Americans-Update-7-01.png,2024-08-10T16:26:45.175991,True
RELIG,US,https://open.lib.umn.edu/app/uploads/sites/173/2015/07/a694315277e156d8ea49ddbe37daf556.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Religions_of_the_United_States_pie_chart.svg/2560px-Religions_of_the_United_States_pie_chart.svg.png,2024-08-10T16:26:45.175991,True
RELIG,US,https://c8.alamy.com/comp/2KA0T79/scranton-united-states-30th-oct-2022-a-woman-carries-light-past-the-dietys-diwali-is-the-five-day-religious-festival-in-hinduism-it-symbolizes-victory-of-light-over-dark-celebrants-offer-light-and-food-to-the-deity-while-singing-and-praying-diwali-marks-the-beginning-of-the-fiscal-new-year-photo-by-aimee-dilgersopa-imagessipa-usa-credit-sipa-usaalamy-live-news-2KA0T79.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://studyabroadlife.org/wp-content/uploads/2022/08/kutztown-pennsylvaniakutztown-folk-festivalpennsylvania-dutch-folklifesteam-M338JK-1.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://c8.alamy.com/comp/2KA0T46/scranton-united-states-30th-oct-2022-food-is-placed-before-deitys-at-an-altar-for-diwali-diwali-is-the-five-day-religious-festival-in-hinduism-it-symbolizes-victory-of-light-over-dark-celebrants-offer-light-and-food-to-the-deitys-while-singing-and-praying-diwali-marks-the-beginning-of-the-fiscal-new-year-photo-by-aimee-dilgersopa-imagessipa-usa-credit-sipa-usaalamy-live-news-2KA0T46.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://vintage-virtues.com/wp-content/uploads/2024/07/america-4th-of-july-crowd-of-people.png,2024-08-10T16:26:45.175991,True
RELIG,US,https://i.natgeofe.com/n/e981536f-5cb8-4106-a1ba-cb8458a3c29e/holi-festival-india.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://d2v9ipibika81v.cloudfront.net/uploads/sites/71/2017/05/keepingfaithsm-350x228.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://m.media-amazon.com/images/I/71xJi375GbL.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://assets.pewresearch.org/wp-content/uploads/sites/11/2012/07/overview3.png,2024-08-10T16:26:45.175991,True
RELIG,US,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/RexParade2006NewcombPotteryFloatHighsmith.jpg/1200px-RexParade2006NewcombPotteryFloatHighsmith.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://www.diversityresources.com/wp-content/uploads/2023/02/Christian-Holy-Days.png,2024-08-10T16:26:45.175991,True
RELIG,US,https://www.americanprogress.org/wp-content/uploads/sites/2/2022/02/RuttenbergQAColumn.jpg?w=1680,2024-08-10T16:26:45.175991,True
RELIG,US,https://i.natgeofe.com/n/959eb04a-010b-48d7-8a51-1711d781d6d1/diwali-lanterns-rts2t3o5.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://www.pewresearch.org/religion/wp-content/uploads/sites/7/2021/09/PF_21.09.16_indiaComposition_featured.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,https://c8.alamy.com/comp/2T714NB/november-12-2023-new-york-new-york-united-states-new-mayor-adams-attends-a-diwali-celebrations-at-hare-krishna-center-november-12-2023-new-york-new-york-usa-hindu-devotees-lights-candle-during-a-diwali-celebration-at-international-society-for-krishna-consciousness-iskcon-hare-krishna-center-on-november-12-2023-in-the-brooklyn-borough-of-new-york-city-diwali-also-known-as-deepavali-and-the-39festival-of-lights39-is-one-of-the-most-popular-festivals-of-hinduism-it-symbolizes-the-spiritual-39victory-of-light-over-darkness-good-over-evil-and-knowledge-over-ignorance-2T714NB.jpg,2024-08-10T16:26:45.175991,True
RELIG,US,"https://m.media-amazon.com/images/I/71x39wLe2KL._AC_UF894,1000_QL80_.jpg",2024-08-10T16:26:45.175991,True
