category_code,country_code,url,created_at,isEnglish,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
FOOD,FRA,https://www.propertyguides.com/france/media/sites/2/2015/11/Living-Food-and-Drink-1024x614.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://www.savoredjourneys.com/wp-content/uploads/2020/03/food-drinks-france.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://www.fodors.com/wp-content/uploads/2020/02/ThingsToDrinkInFrance__HERO_shutterstock_1401820247.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://images.twinkl.co.uk/tw1n/image/private/t_630_eco/image_repo/50/e8/t-mfl-1670927773-french-food-and-drink-display-poster_ver_1.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://worldoffoodanddrink.worldtravelguide.net/wp-content/uploads/sites/3/2018/04/shu-Fresh-baguettes-1060030130-JpegPhotographer-430x246.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://ecdn.teacherspayteachers.com/thumbitem/French-Small-Group-Speaking-Activity-with-Food-and-Drink-Vocabulary-Quick-Prep-1584684-1656583803/original-1584684-4.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://i.pinimg.com/236x/8d/bf/6f/8dbf6f7836ead00924d6922faca1d14c.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://i.pinimg.com/736x/19/cc/6b/19cc6b9008b9662cf5ae03cff80db355.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://i.ytimg.com/vi/FIefN-dmZ9s/sddefault.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://www.chefspencil.com/wp-content/uploads/Holiday-Season-in-France.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://worldoffoodanddrink.worldtravelguide.net/wp-content/uploads/sites/3/2018/04/shu-Ratatouille-1054520687-Oksana-Mizina-430x246.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://media.cnn.com/api/v1/images/stellar/prod/220530130812-french-brittany-cuisine-stock.jpg?c=original,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://www.pinhok.com/cdn/kbimg/english/french/french-food-and-drinks.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://thumbs.dreamstime.com/z/france-food-drink-collection-vector-illustration-decorative-design-france-food-drink-collection-vector-illustration-185085018.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://i.ytimg.com/vi/Bj0wAZ4jBYE/hqdefault.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://www.liveworksheets.com/sites/default/files/styles/large/public/def_files/2023/7/20/307200714445337769/307200714445337769001.jpg?itok=4E3YVy2o,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://ichef.bbci.co.uk/news/976/cpsprodpb/4603/production/_105432971_frcamembertafp20mar12caen.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://exploremorefamilytravel.com/wp-content/uploads/2023/01/orange-e1673436845870.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://ecdn.teacherspayteachers.com/thumbitem/French-English-Food-and-Drink-Vocabulary-Poster-La-Nourriture-et-Les-Boissons-5240966-1596175795/original-5240966-2.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://travel2next.com/wp-content/uploads/food-and-drinks-in-french.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://i0.wp.com/52martinis.com/wp-content/uploads/IMG_7039-e1596201909932.jpg?fit=1227%2C930&ssl=1,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://lilsweetspiceadvice.com/wp-content/uploads/2018/12/Holiday-Season-Goodies-French-Food-Drink-Federation-5.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1c/52/48/caption.jpg?w=500&h=400&s=1,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,"https://m.media-amazon.com/images/I/51EMJX1cQwL._AC_UF1000,1000_QL80_.jpg",2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://i0.wp.com/thegoodlifefrance.com/wp-content/uploads/2015/07/snails-france.gif?fit=550%2C300&ssl=1,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://c8.alamy.com/comp/BPFB50/french-people-eating-patissier-french-food-and-drink-food-and-drink-BPFB50.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
FOOD,FRA,https://www.tourisme-en-hautsdefrance.com/app/uploads/crt-hautsdefrance/2021/01/thumbs/moules-frites-et-biere-01-crt-hauts-de-france-as-flament-640x640.jpg,2024-08-10T02:24:23.869653,True,,0,0,0,0,0,,
